image_path,canonical_image_path,file_page,book_page,primary_topic_folder,llm_recognized_group,source_description,rest_fact_concepts,suggested_exercise_ids
public/science-yoga-book/group-hip-flexors/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,public/science-yoga-book/_all_pages/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,17,15,hips-pelvis,hip-flexors,Pelvis structure and neutral pelvis,pelvic tilt changes hip mechanics | neutral pelvis affects squat and hinge positions | hip socket orientation influences range of motion,"hip-flexion,leg-raise"
public/science-yoga-book/group-adductors/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,public/science-yoga-book/_all_pages/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,17,15,hips-pelvis,adductors,Pelvis structure and neutral pelvis,pelvic tilt changes hip mechanics | neutral pelvis affects squat and hinge positions | hip socket orientation influences range of motion,"hip-adduction,back-squat,leg-press"
public/science-yoga-book/group-pelvis/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,public/science-yoga-book/_all_pages/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,17,15,hips-pelvis,pelvis,Pelvis structure and neutral pelvis,pelvic tilt changes hip mechanics | neutral pelvis affects squat and hinge positions | hip socket orientation influences range of motion,"hip-thrust,rdl,back-squat,hip-abduction,hip-adduction"
public/science-yoga-book/group-core/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,public/science-yoga-book/_all_pages/swanson-file-p017-book-p015-pelvis-structure-and-neutral-pelvis.jpg,17,15,hips-pelvis,core,Pelvis structure and neutral pelvis,pelvic tilt changes hip mechanics | neutral pelvis affects squat and hinge positions | hip socket orientation influences range of motion,"ab-machine,plank,dead-bug,back-squat,rdl"
public/science-yoga-book/group-shoulders/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,shoulders,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"shoulder-press,lateral-raise,reverse-fly"
public/science-yoga-book/group-hips/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,hips,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"hip-thrust,rdl,back-squat,hip-abduction,hip-adduction"
public/science-yoga-book/group-knees/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,knees,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"leg-extension,hamstring-curl,leg-press,back-squat"
public/science-yoga-book/group-elbows/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,elbows,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"biceps-curl,triceps-extension,row,lat-pulldown"
public/science-yoga-book/group-wrists/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,wrists,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"biceps-curl,row,lat-pulldown,pressing"
public/science-yoga-book/group-joints/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,public/science-yoga-book/_all_pages/swanson-file-p018-book-p016-joint-actions-and-synovial-joints.jpg,18,16,joints,joints,Joint actions and synovial joints,flexion extension abduction and rotation are exercise vocabulary | synovial joints allow large controlled movement | joint range determines safe exercise range,"all-exercises,range-of-motion"
public/science-yoga-book/group-joints/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,public/science-yoga-book/_all_pages/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,19,17,joints,joints,Joint actions in poses and arthritis progression,joint surfaces tolerate load best with control | arthritis changes cartilage and joint space | range should be adapted to pain and tolerance,"all-exercises,range-of-motion"
public/science-yoga-book/group-knees/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,public/science-yoga-book/_all_pages/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,19,17,joints,knees,Joint actions in poses and arthritis progression,joint surfaces tolerate load best with control | arthritis changes cartilage and joint space | range should be adapted to pain and tolerance,"leg-extension,hamstring-curl,leg-press,back-squat"
public/science-yoga-book/group-hips/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,public/science-yoga-book/_all_pages/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,19,17,joints,hips,Joint actions in poses and arthritis progression,joint surfaces tolerate load best with control | arthritis changes cartilage and joint space | range should be adapted to pain and tolerance,"hip-thrust,rdl,back-squat,hip-abduction,hip-adduction"
public/science-yoga-book/group-spine/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,public/science-yoga-book/_all_pages/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,19,17,joints,spine,Joint actions in poses and arthritis progression,joint surfaces tolerate load best with control | arthritis changes cartilage and joint space | range should be adapted to pain and tolerance,"rdl,back-squat,leg-press,back-extension"
public/science-yoga-book/group-shoulders/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,public/science-yoga-book/_all_pages/swanson-file-p019-book-p017-joint-actions-in-poses-and-arthritis-progression.jpg,19,17,joints,shoulders,Joint actions in poses and arthritis progression,joint surfaces tolerate load best with control | arthritis changes cartilage and joint space | range should be adapted to pain and tolerance,"shoulder-press,lateral-raise,reverse-fly"
public/science-yoga-book/group-chest/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,chest,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"chest-press,chest-fly,push-up"
public/science-yoga-book/group-arms/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,arms,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"biceps-curl,triceps-extension,row,lat-pulldown"
public/science-yoga-book/group-quads/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,quads,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"leg-extension,leg-press,back-squat,bulgarian-split"
public/science-yoga-book/group-adductors/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,adductors,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"hip-adduction,back-squat,leg-press"
public/science-yoga-book/group-hip-flexors/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,hip-flexors,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"hip-flexion,leg-raise"
public/science-yoga-book/group-calves/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,calves,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"calf-raise,seated-calf-raise"
public/science-yoga-book/group-core/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p020-book-p018-muscular-system-anterior-overview.jpg,20,18,muscles-anterior,core,Muscular system anterior overview,skeletal muscle moves joints | quads extend the knee | adductors and hip flexors contribute to lower-body mechanics,"ab-machine,plank,dead-bug,back-squat,rdl"
public/science-yoga-book/group-back/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,back,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,"row,lat-pulldown,rdl,back-extension"
public/science-yoga-book/group-shoulders/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,shoulders,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,"shoulder-press,lateral-raise,reverse-fly"
public/science-yoga-book/group-glutes/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,glutes,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,"hip-thrust,glute-bridge,donkey-kickback,back-squat,leg-press,bulgarian-split"
public/science-yoga-book/group-hamstrings/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,hamstrings,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,"rdl,hamstring-curl,back-squat,leg-press"
public/science-yoga-book/group-calves/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,calves,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,"calf-raise,seated-calf-raise"
public/science-yoga-book/group-posterior-chain/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p021-book-p019-muscular-system-posterior-overview.jpg,21,19,muscles-posterior,posterior-chain,Muscular system posterior overview,posterior chain links spine hips and legs | glutes extend the hip | hamstrings cross hip and knee,
public/science-yoga-book/group-muscle-contraction/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,public/science-yoga-book/_all_pages/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,22,20,muscle-contraction,muscle-contraction,Muscle structure and how muscles work,muscles shorten through sarcomere contraction | antagonists relax as agonists contract | eccentric contraction controls lowering,
public/science-yoga-book/group-fascia/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,public/science-yoga-book/_all_pages/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,22,20,muscle-contraction,fascia,Muscle structure and how muscles work,muscles shorten through sarcomere contraction | antagonists relax as agonists contract | eccentric contraction controls lowering,
public/science-yoga-book/group-biceps/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,public/science-yoga-book/_all_pages/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,22,20,muscle-contraction,biceps,Muscle structure and how muscles work,muscles shorten through sarcomere contraction | antagonists relax as agonists contract | eccentric contraction controls lowering,"biceps-curl,row,lat-pulldown"
public/science-yoga-book/group-calves/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,public/science-yoga-book/_all_pages/swanson-file-p022-book-p020-muscle-structure-and-how-muscles-work.jpg,22,20,muscle-contraction,calves,Muscle structure and how muscles work,muscles shorten through sarcomere contraction | antagonists relax as agonists contract | eccentric contraction controls lowering,"calf-raise,seated-calf-raise"
public/science-yoga-book/group-arms/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,public/science-yoga-book/_all_pages/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,23,21,arms-biceps,arms,Biceps contraction and muscle contraction detail,biceps flex the elbow | concentric contraction shortens muscle fibers | movement is coordinated by opposing muscle groups,"biceps-curl,triceps-extension,row,lat-pulldown"
public/science-yoga-book/group-biceps/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,public/science-yoga-book/_all_pages/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,23,21,arms-biceps,biceps,Biceps contraction and muscle contraction detail,biceps flex the elbow | concentric contraction shortens muscle fibers | movement is coordinated by opposing muscle groups,"biceps-curl,row,lat-pulldown"
public/science-yoga-book/group-elbows/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,public/science-yoga-book/_all_pages/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,23,21,arms-biceps,elbows,Biceps contraction and muscle contraction detail,biceps flex the elbow | concentric contraction shortens muscle fibers | movement is coordinated by opposing muscle groups,"biceps-curl,triceps-extension,row,lat-pulldown"
public/science-yoga-book/group-muscle-contraction/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,public/science-yoga-book/_all_pages/swanson-file-p023-book-p021-biceps-contraction-and-muscle-contraction-detail.jpg,23,21,arms-biceps,muscle-contraction,Biceps contraction and muscle contraction detail,biceps flex the elbow | concentric contraction shortens muscle fibers | movement is coordinated by opposing muscle groups,
public/science-yoga-book/group-nervous-system/swanson-file-p024-book-p022-nervous-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p024-book-p022-nervous-system-overview.jpg,24,22,nervous-system,nervous-system,Nervous system overview,"nerves carry motor commands and sensory feedback | training depends on brain-body communication | fatigue is partly neural, not only muscular","all-exercises,rest-timer"
public/science-yoga-book/group-recovery/swanson-file-p024-book-p022-nervous-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p024-book-p022-nervous-system-overview.jpg,24,22,nervous-system,recovery,Nervous system overview,"nerves carry motor commands and sensory feedback | training depends on brain-body communication | fatigue is partly neural, not only muscular","all-exercises,rest-timer"
public/science-yoga-book/group-full-body/swanson-file-p024-book-p022-nervous-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p024-book-p022-nervous-system-overview.jpg,24,22,nervous-system,full-body,Nervous system overview,"nerves carry motor commands and sensory feedback | training depends on brain-body communication | fatigue is partly neural, not only muscular",
public/science-yoga-book/group-nervous-system/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,public/science-yoga-book/_all_pages/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,25,23,nervous-system,nervous-system,Nerve structure and autonomic nervous system,sympathetic state prepares effort | parasympathetic state supports recovery | breathing can influence autonomic tone,"all-exercises,rest-timer"
public/science-yoga-book/group-stress/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,public/science-yoga-book/_all_pages/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,25,23,nervous-system,stress,Nerve structure and autonomic nervous system,sympathetic state prepares effort | parasympathetic state supports recovery | breathing can influence autonomic tone,
public/science-yoga-book/group-recovery/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,public/science-yoga-book/_all_pages/swanson-file-p025-book-p023-nerve-structure-and-autonomic-nervous-system.jpg,25,23,nervous-system,recovery,Nerve structure and autonomic nervous system,sympathetic state prepares effort | parasympathetic state supports recovery | breathing can influence autonomic tone,"all-exercises,rest-timer"
public/science-yoga-book/group-nervous-system/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,26,24,brain,nervous-system,Cerebral cortex and inside the brain,motor cortex helps coordinate movement | balance and body awareness depend on brain processing | skill practice changes control,"all-exercises,rest-timer"
public/science-yoga-book/group-brain/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,26,24,brain,brain,Cerebral cortex and inside the brain,motor cortex helps coordinate movement | balance and body awareness depend on brain processing | skill practice changes control,
public/science-yoga-book/group-motor-control/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p026-book-p024-cerebral-cortex-and-inside-the-brain.jpg,26,24,brain,motor-control,Cerebral cortex and inside the brain,motor cortex helps coordinate movement | balance and body awareness depend on brain processing | skill practice changes control,
public/science-yoga-book/group-nervous-system/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,27,25,brain,nervous-system,Limbic system and effects on brain,stress affects training state | reward and motivation influence adherence | calm focus can improve movement quality,"all-exercises,rest-timer"
public/science-yoga-book/group-stress/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,27,25,brain,stress,Limbic system and effects on brain,stress affects training state | reward and motivation influence adherence | calm focus can improve movement quality,
public/science-yoga-book/group-focus/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,27,25,brain,focus,Limbic system and effects on brain,stress affects training state | reward and motivation influence adherence | calm focus can improve movement quality,
public/science-yoga-book/group-recovery/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p027-book-p025-limbic-system-and-effects-on-brain.jpg,27,25,brain,recovery,Limbic system and effects on brain,stress affects training state | reward and motivation influence adherence | calm focus can improve movement quality,"all-exercises,rest-timer"
public/science-yoga-book/group-nervous-system/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,28,26,brain,nervous-system,Neural pathways and changing brain,repeated practice strengthens pathways | new routines build new movement habits | motor learning improves with repetition,"all-exercises,rest-timer"
public/science-yoga-book/group-motor-learning/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,28,26,brain,motor-learning,Neural pathways and changing brain,repeated practice strengthens pathways | new routines build new movement habits | motor learning improves with repetition,
public/science-yoga-book/group-habit/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,public/science-yoga-book/_all_pages/swanson-file-p028-book-p026-neural-pathways-and-changing-brain.jpg,28,26,brain,habit,Neural pathways and changing brain,repeated practice strengthens pathways | new routines build new movement habits | motor learning improves with repetition,
public/science-yoga-book/group-stress/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,public/science-yoga-book/_all_pages/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,29,27,stress-cortisol,stress,Neurogenesis and cortisol levels,high stress can affect recovery | rest periods can be used for downshifting | breathing and attention can change arousal,
public/science-yoga-book/group-recovery/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,public/science-yoga-book/_all_pages/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,29,27,stress-cortisol,recovery,Neurogenesis and cortisol levels,high stress can affect recovery | rest periods can be used for downshifting | breathing and attention can change arousal,"all-exercises,rest-timer"
public/science-yoga-book/group-nervous-system/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,public/science-yoga-book/_all_pages/swanson-file-p029-book-p027-neurogenesis-and-cortisol-levels.jpg,29,27,stress-cortisol,nervous-system,Neurogenesis and cortisol levels,high stress can affect recovery | rest periods can be used for downshifting | breathing and attention can change arousal,"all-exercises,rest-timer"
public/science-yoga-book/group-breathing/swanson-file-p032-book-p030-respiratory-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p032-book-p030-respiratory-system-overview.jpg,32,30,respiratory-system,breathing,Respiratory system overview,the diaphragm drives breathing mechanics | rib position affects bracing | controlled breathing helps rest intervals,"all-exercises,rest-timer"
public/science-yoga-book/group-core/swanson-file-p032-book-p030-respiratory-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p032-book-p030-respiratory-system-overview.jpg,32,30,respiratory-system,core,Respiratory system overview,the diaphragm drives breathing mechanics | rib position affects bracing | controlled breathing helps rest intervals,"ab-machine,plank,dead-bug,back-squat,rdl"
public/science-yoga-book/group-ribs/swanson-file-p032-book-p030-respiratory-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p032-book-p030-respiratory-system-overview.jpg,32,30,respiratory-system,ribs,Respiratory system overview,the diaphragm drives breathing mechanics | rib position affects bracing | controlled breathing helps rest intervals,
public/science-yoga-book/group-diaphragm/swanson-file-p032-book-p030-respiratory-system-overview.jpg,public/science-yoga-book/_all_pages/swanson-file-p032-book-p030-respiratory-system-overview.jpg,32,30,respiratory-system,diaphragm,Respiratory system overview,the diaphragm drives breathing mechanics | rib position affects bracing | controlled breathing helps rest intervals,
public/science-yoga-book/group-breathing/swanson-file-p033-book-p031-how-we-breathe.jpg,public/science-yoga-book/_all_pages/swanson-file-p033-book-p031-how-we-breathe.jpg,33,31,breathing,breathing,How we breathe,inhalation expands ribs and lowers diaphragm | exhalation recoils the ribs and diaphragm | breath control supports bracing and relaxation,"all-exercises,rest-timer"
